name;src_file;src_line;total_ns;total_perc;counts;mean_ns;min_ns;max_ns;std_ns
plugin build{plugin="forgia_observability::ForgiaObservabilityPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;1045849;0.001130;1;1045849;1045849;1045849;0.000000
plugin cleanup{plugin="bevy_render::view::window::screenshot::ScreenshotPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;56;0.000000;1;56;56;56;0.000000
plugin build{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_render::experimental::occlusion_culling::OcclusionCulling>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;3655;0.000004;1;3655;3655;3655;0.000000
asset loading{loader="bevy_gltf::loader::GltfLoader" asset="models/environment/inferno/ColumnBigBroken_002.glb"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;447869124;0.484081;6;74644854;55;447833459;182824332.361980
plugin finish{plugin="forgia_ui_lib::hud::ForgiaUiHudPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;53;0.000000;1;53;53;53;0.000000
plugin finish{plugin="bevy_core_pipeline::oit::OrderIndependentTransparencyPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;53;0.000000;1;53;53;53;0.000000
system_commands{name="forgia_ui::weapon_preview::sys_spawn_weapon_preview"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;26329;0.000028;1;26329;26329;26329;0.000000
plugin cleanup{plugin="bevy_render::extract_component::UniformComponentPlugin<bevy_anti_alias::contrast_adaptive_sharpening::CasUniform>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;63;0.000000;1;63;63;63;0.000000
system{name="bevy_hanabi::compile_effects"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;689610682;0.745369;18163;37967;26219;17050856;126624.646395
system{name="forgia_mode_roguelite::decor::sys_write_decor_sensor"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;8179785;0.008841;18163;450;84;85339;2478.449131
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0014.webp"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;14942252;0.016150;8;1867781;138;14913382;5271219.733119
system{name="forgia_mode_roguelite::render_quality::sys_force_apply_ssao"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;91778;0.000099;1;91778;91778;91778;0.000000
system{name="forgia_rpg_data::shop::process_sell"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;12518203;0.013530;18163;689;211;93112;773.489934
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr\\decal\\forward_decal.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;382079;0.000413;2;191039;187;381892;269906.193914
system{name="bevy_render::erased_render_asset::extract_erased_render_asset<bevy_pbr::mesh_material::MeshMaterial3d<bevy_pbr::extended_material::ExtendedMaterial<bevy_pbr::pbr_material::StandardMaterial, bevy_pbr::decal::forward::ForwardDecalMaterialExt>>>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;18794156;0.020314;18163;1034;383;73295;609.628129
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_anti_alias\\fxaa\\fxaa.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;364372;0.000394;2;182186;62;364310;257562.230834
plugin build{plugin="bevy_render::extract_resource::ExtractResourcePlugin<bevy_render::texture::manual_texture_view::ManualTextureViews>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;3569;0.000004;1;3569;3569;3569;0.000000
plugin cleanup{plugin="bevy_render::extract_resource::ExtractResourcePlugin<bevy_egui::EguiUserTextures>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;126;0.000000;1;126;126;126;0.000000
system{name="bevy_diagnostic::frame_count_diagnostics_plugin::update_frame_count"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;3255522;0.003519;18163;179;81;31025;265.979938
system{name="bevy_pbr::ssao::extract_ssao_settings"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;9804901;0.010598;18163;539;139;15034;237.539345
plugin build{plugin="bevy_rapier3d::render::RapierDebugRenderPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;58794;0.000064;1;58794;58794;58794;0.000000
system{name="bevy_anti_alias::taa::prepare_taa_pipelines"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;3975383;0.004297;18162;218;78;33744;282.591246
system{name="forgia_effects::lifetime_tick"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;5955117;0.006437;18163;327;121;73118;571.030558
plugin build{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_pbr::ssr::ScreenSpaceReflections>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;3856;0.000004;1;3856;3856;3856;0.000000
system{name="bevy_core_pipeline::core_3d::extract_camera_prepass_phase"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;28330744;0.030621;18163;1559;724;106873;1152.395944
tessellator::tessellate_shapes;C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\egui-0.33.3\src\context.rs;2679;2384473146;2.577268;18163;131281;7302;495838;38641.725505
system_commands{name="bevy_render::extract_resource::extract_resource<bevy_egui::EguiUserTextures>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;1496958;0.001618;18162;82;51;4416;45.542553
