name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
system{name="bevy_egui::render::systems::prepare_egui_render_target_data_system"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,1930770358,1.500803,27078,71304,7263,3130773,40050.991368
system{name="bevy_pbr::ssr::add_screen_space_reflections_render_graph_edges"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,21337,0.000017,1,21337,21337,21337,0.000000
system{name="forgia_killfeed::ingest_kill_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,13956843,0.010849,27079,515,145,13576,287.088768
plugin finish{plugin="forgia_fps::score::ArenaScorePlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,55,0.000000,1,55,55,55,0.000000
system_commands{name="forgia_mode_roguelite::toon_config::sys_init_toon_genome"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,5514,0.000004,1,5514,5514,5514,0.000000
system{name="forgia_enemy_nameplate::spawn_nameplate_for_targets"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,35291444,0.027432,27079,1303,214,85033,1325.047393
system{name="bevy_anti_alias::taa::init_taa_pipeline"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,118014,0.000092,1,118014,118014,118014,0.000000
plugin finish{plugin="bevy_render::extract_component::ExtractComponentPlugin<bevy_pbr::atmosphere::Atmosphere>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,61,0.000000,1,61,61,61,0.000000
system{name="forgia_mode_roguelite::hud::draw_active_boons"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,182528348,0.141881,25661,7113,168,601510,5892.823747
plugin build{plugin="bevy_diagnostic::DiagnosticsPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,179032906,0.139164,1,179032906,179032906,179032906,0.000000
plugin build{plugin="bevy_render::extract_instances::ExtractInstancesPlugin<bevy_pbr::light_probe::environment_map::EnvironmentMapIds>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,6115,0.000005,1,6115,6115,6115,0.000000
system_commands{name="bevy_render::render_asset::extract_render_asset<bevy_render::storage::GpuShaderStorageBuffer>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,21693239,0.016862,27078,801,362,82898,635.762626
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0037.webp"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,15704117,0.012207,6,2617352,103,15672041,6395466.728596
asset loading{loader="bevy_gltf::loader::GltfLoader" asset="models/environment/inferno/Brazier_002.glb"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,6383226,0.004962,4,1595806,191,6367852,3181367.390498
